codigo,nome,arquivo,tem_foto,origem
2885,"Poltrona Matrix Dupla Jetta 1,56X1.110 K/CINZ a",(placeholder),nao,-
1003351,Poltrona Matrix Malta Veludo Chumbo 425,(placeholder),nao,-
1002274,Poltrona Matrix Onix 289 K/MARROM,1002274.jpg,sim,s9.chianca.net
1002286,Poltrona Matrix Onix 290 K/BEGE,1002286.jpg,sim,s9.chianca.net
1002660,Poltrona Matrix Onix 425 Tec Cinza,1002660.jpg,sim,s9.chianca.net
1002661,Poltrona Matrix Onix 426 Veludo Marrom,1002661.jpg,sim,s9.chianca.net
1004136,Poltrona Matrix Onix 434 Veludo Bege,(placeholder),nao,-
1002069,Poltrona Matrix Onix 455 Linho Cinza,(placeholder),nao,-
1002772,Poltrona Matrix Onix 484 Linho Chumbo,1002772.jpg,sim,s9.chianca.net
1002773,Poltrona Matrix Onix 486 Tec Bege Vancouver,1002773.jpg,sim,s9.chianca.net
1003355,Poltrona Matrix Onix Linho Bege 488,1003355.jpg,sim,s9.chianca.net
1001150,Poltrona Slim Bsc,(placeholder),nao,-
1001708,Poltrona Sophia Veludo Imperio,(placeholder),nao,-
80012,Poltrona Tek Slin Cinza Tecudo,(placeholder),nao,-
1003963,Poltrona Tek Slin Ermine 10,(placeholder),nao,-
1002934,Poltrona Tekshine Borboleta,(placeholder),nao,-
1003221,Poltrona Tekshine Capadocia Bege,(placeholder),nao,-
400221,Poltrona Tekshine Capadocia Chinchila,(placeholder),nao,-
1004063,Poltrona Tekshine Capadocia Cinza Paloma 12,(placeholder),nao,-
1003256,Poltrona Tekshine Capadocia Cor Ermine N 10,(placeholder),nao,-
1003227,Poltrona Tekshine Capadocia Marrom,(placeholder),nao,-
1003225,Poltrona Tekshine Slin Bege,(placeholder),nao,-
1003226,Poltrona Tekshine Veludu Slim Pavemont,1003226.jpg,sim,s9.chianca.net
1001664,Puff Cherry Redondo 55X40 (CORES DIVERSAS),1001664.jpg,sim,s9.chianca.net
1661,Puff Combate Tekshine (CORES DIVERSAS),1661.jpg,sim,s9.chianca.net
1004272,Sofa 2 Lugares Mari King Marrom,(placeholder),nao,-
1004233,Sofa 2 e 3 Lugares Mari King Cinza,(placeholder),nao,-
1004232,Sofa 2 e 3 Lugares Marta Velutti Castor,(placeholder),nao,-
1004358,Sofa 2 e 3 Lugares Marta Velutti Cinza,(placeholder),nao,-
1004286,Sofa 2 e 3 Lugares Pilar King Areia,(placeholder),nao,-
1004325,Sofa 2 e 3 Lugares Pilar King Castor,(placeholder),nao,-
1004234,Sofa 2 e 3 Lugares Pilar King Cinza,(placeholder),nao,-
1004276,Sofa 2 e 3 Lugares Pilar Ocre,(placeholder),nao,-
1004249,Sofa 2 e 3 Lugares Pilar Velutti Cafe,(placeholder),nao,-
1004306,Sofa 2 e 3 Lugares Pilar Velutti Chumbo,(placeholder),nao,-
1004304,Sofa 2 e 3 Lugares Ravena Linho Bege,(placeholder),nao,-
1004273,Sofa 3 Lugares Mari King Marrom,(placeholder),nao,-
1002133,Sofa Artflex 3LUG Milao Linho Saturno Cinza 9 000000013032,(placeholder),nao,-
1003177,Sofa Artflex 3LUG Paris Linho Deva Cinza,(placeholder),nao,-
1002101,Sofa Artflex 3LUG Paris Linho Zavatex Cinza,(placeholder),nao,-
1003045,Sofa Artflex 3LUG Roma Ferrara 01,(placeholder),nao,-
1003044,Sofa Artflex 3LUG Roma Linho Deva Creme,(placeholder),nao,-
1002132,Sofa Artflex 3LUG Viena Linho Saturno Creme,(placeholder),nao,-
1002313,Sofa Artflex 3LUG Zavatex Paris Linho Bege,(placeholder),nao,-
1002216,Sofa Artflex RET. 3LUG Ibiza Linho Saturno Cinza,(placeholder),nao,-
1002173,Sofa Artflex Retratil 2LUG Honduras Velute Ni Kki,(placeholder),nao,-
1002172,Sofa Artflex Retratil 3LUG Honduras Velute Ni Kki,(placeholder),nao,-
1002134,Sofa Artflex Retratil 3LUG Ibiza Linho Saturn o Gelo,(placeholder),nao,-
1002578,Sofa Artflex Retratil 3LUG Ibiza Linho Zavate x Marfim,(placeholder),nao,-
1004229,Sofa Barcelona 1.60 Veludo Caramelo,(placeholder),nao,-
1004365,Sofa Barcelona TAM. 1:60 - Veludo Chumbo,(placeholder),nao,-
1004397,Sofa Barcelona TAM. 2:00M - Velutti Cafe,(placeholder),nao,-
7908002498326,Sofa Cama Matrix Amora New Inca Chumbo 425,7908002498326.jpg,sim,s9.chianca.net
7908002497411,Sofa Cama Matrix Amora New Veludo Bege 434,7908002497411.jpg,sim,s9.chianca.net
7908002499347,Sofa Cama Matrix Amora New Veludo Marrom 426,7908002499347.jpg,sim,s9.chianca.net
7908927775717,Sofa Cama Matrix Luma Linho Cinza Claro 483,(placeholder),nao,-
7908927771498,Sofa Cama Matrix Luma Pompeia Bege 504,7908927771498.jpg,sim,s9.chianca.net
1001763,Sofa Celta Veludo Deluxe Bege,(placeholder),nao,-
1642,Sofa Celta Veludo Deluxe Marrom,(placeholder),nao,-
1001745,Sofa Classic 2 Lugares Mercadao Cinza,(placeholder),nao,-
1001746,Sofa Classic 3 Lugares Mercadao Cinza,(placeholder),nao,-
400199,Sofa Classic 3 Lugares Mercadao Marron,(placeholder),nao,-
1002496,Sofa Conceito Londres 1.90 Velluti Cinza,(placeholder),nao,-
1004305,Sofa Dalla S 1.70 Linho Cinza Claro,(placeholder),nao,-
2001109,Sofa Jds California Ret e Recl Cinza V1,(placeholder),nao,-
8002,Sofa Jds Fixo Atenas 1.80 L3 Cafe,(placeholder),nao,-
7009,Sofa Jds Grecia Ret e Recl Bege 1.80,7009.jpg,sim,s9.chianca.net
1003103,Sofa Jds Grecia Ret e Recl Café V5,1003103.jpg,sim,s9.chianca.net
7007,Sofa Jds Grecia Ret e Recl Castor 1.80 V10,7007.jpg,sim,s9.chianca.net
1003104,"Sofa Jds Grecia Ret e Recl Cinza 1,80 V1",1003104.jpg,sim,s9.chianca.net
40095,Sofa Jds Grecia Ret e Recl Preto 1.80,(placeholder),nao,-
8003,Sofa Jds RETRA/RECL Creta 2.10 V1 Caramelo,(placeholder),nao,-
8000,Sofa Jds Ret e Recl Tarcila Caramelo 2.00,(placeholder),nao,-
1003864,"Sofa Kappesberg Malta 2,6M A033 Marrom",(placeholder),nao,-
1003866,"Sofa Kappesberg Malta 2,6M A050 Titanio",(placeholder),nao,-
1003865,Sofa Kappesberg Malta A036 Bege,1003865.jpg,sim,s9.chianca.net
1004096,Sofa Kappesberg Na Caixa,(placeholder),nao,-
1003155,Sofa Kappesberg Versa Veludo Bege,1003155.jpg,sim,s9.chianca.net
1003154,Sofa Kappesberg Versa Veludo Marrom,1003154.jpg,sim,s9.chianca.net
1003156,Sofa Kappesberg Versa Veludo Titanio,(placeholder),nao,-
1003861,Sofa Kappesberg Zyron A033 Marrom,(placeholder),nao,-
1003862,Sofa Kappesberg Zyron A036 Bege,(placeholder),nao,-
1003863,Sofa Kappesberg Zyron A050 Titanio,(placeholder),nao,-
1004401,Sofa Londres - Velutti Bege,(placeholder),nao,-
1001153,Sofa Londres Veludo Ermine,(placeholder),nao,-
1004324,Sofa Mari 2/3 LUG. - Velutti Bege,(placeholder),nao,-
1004360,Sofa Mari 3/2 LUG. - King Areia,(placeholder),nao,-
1004275,Sofa Mari 3/2 LUG. - Velutti Chumbo,1004275.jpg,sim,s9.chianca.net
3924,Sofa Movel PAZ- Cor CHUMBO-175,(placeholder),nao,-
3923,Sofa Movel PAZ- Cor MARROM- 173,(placeholder),nao,-
1003922,Sofa Movel Paz Chocolate 172,(placeholder),nao,-
3921,Sofa Movel Paz Gelo -171,(placeholder),nao,-
7909875301140,Sofa Na Caixa Kappesberg Orion Bege Pavia,(placeholder),nao,-
7909875301133,Sofa Na Caixa Kappesberg Orion Grafiato Marrom A009,7909875301133.jpg,sim,s9.chianca.net
7909875301195,Sofa Na Caixa Kappesberg Orion Linho Fendi A0 51,7909875301195.jpg,sim,s9.chianca.net
1004230,Sofa New Dalla S 2.10 Linho Bege,(placeholder),nao,-
1004399,Sofa New Dalla S TAM. 1:70 - Linho Caramelo,(placeholder),nao,-
1004231,Sofa New Dallas 1.70 Linho,(placeholder),nao,-
1004403,Sofa Noha TAM. 2:10 - Velutti Cafe,(placeholder),nao,-
70026,Sofa Pop Edynho 2 Lugares Bege,(placeholder),nao,-
1003972,Sofa Pop Edynho 2 Lugares Cinza,(placeholder),nao,-
70025,Sofa Pop Edynho 2 Lugares Marron,(placeholder),nao,-
70024,Sofa Pop Edynho 3 Lugares Bege,(placeholder),nao,-
1003595,Sofa Pop Edynho 3 Lugares Cinza,(placeholder),nao,-
70028,Sofa Pop Edynho 3 Lugares Marron,(placeholder),nao,-
1002921,Sofa Prime Belmont Retratil 2M Marrom,(placeholder),nao,-
400115,Sofa Prime Elegance Canto 3X2 Lugares Grafite,(placeholder),nao,-
1002917,Sofa Prime Florenca 2 Lugare Grafite,(placeholder),nao,-
400170,Sofa Prime Florenca 2 Lugare Vermelho,(placeholder),nao,-
1003402,Sofa Prime Florenca 2 Lugares Beg Tec,(placeholder),nao,-
1003403,Sofa Prime Florenca 3 Lugares Bege Tec,1003403.jpg,sim,s9.chianca.net
1002916,Sofa Prime Florenca 3 Lugares Grafite,(placeholder),nao,-
400171,Sofa Prime Florenca 3 Lugares Vermelho,(placeholder),nao,-
1003267,Sofa Prime Portugal 2 Lugares Bege,(placeholder),nao,-
1002919,Sofa Prime Portugal 2 Lugares Cafe,(placeholder),nao,-
400149,Sofa Prime Portugal 2 Lugares Cinza,(placeholder),nao,-
400121,Sofa Prime Portugal 2 Lugares Preto,(placeholder),nao,-
400160,Sofa Prime Portugal 3 Lugares Bege,(placeholder),nao,-
1002915,Sofa Prime Portugal 3 Lugares Cafe,(placeholder),nao,-
400123,Sofa Prime Portugal 3 Lugares Cinza,(placeholder),nao,-
400122,Sofa Prime Portugal 3 Lugares Preto,(placeholder),nao,-
1003344,Sofa Prime Portugal Canto 3X2 Lugares Cinza,(placeholder),nao,-
1004257,Sofa Ravena 3 Lugares Linho Bege Braco Korino,(placeholder),nao,-
1003385,Sofa Retratil 3LUG Ibiza - Linho Zavatex Marfim,(placeholder),nao,-
7890006639662,"Sofa Retratil Reclinavel com 1,80",(placeholder),nao,-
